Question,Answer
بله، من بنا به علایق شخصیم توی کلاس طراحی وب شرکت کردم,عالی
میگم هزینه دوره هاش چقدر میشه,تقریبا تمن من دوره اولیه رو شرکت کردم
کار تباهيه دیگه، ساعت ها بشيني با مشقت کد بنيوسي برای چندرغاز درآمد,برنامه نویسیه کار تباهیه؟
برنامه نویسیه کار تباهیه؟,توی ایران، باتوجه به نسبت زحمت به دارمدش، بله واقعا تباهه
توی ایران، باتوجه به نسبت زحمت به دارمدش، بله واقعا تباهه,چی بگم ولی بعضی از برنامه نویسا درآمد خوبی دارن و همینطور از علاقه ای که به این کار دارن اصن خسته نمیشن
چی بگم ولی بعضی از برنامه نویسا درآمد خوبی دارن و همینطور از علاقه ای که به این کار دارن اصن خسته نمیشن,بعد شما یه اپی رو هم دوولوپ میکنید و همه قرار باشه کپی کنند و کسی پول نده که نمیشه کار ، ما هنوز فکر میکنیم برای چیزی که فیزیکی نیست مثل نرم افزار نباید پول بدیم
چی بگم ولی بعضی از برنامه نویسا درآمد خوبی دارن و همینطور از علاقه ای که به این کار دارن اصن خسته نمیشن,اونا یا با پارتی جای خوبی رفتن یا کپی میکنند یا دیگه واقعا تکند و کارشون خیلی درسته، کسی که خسته نشه یعنی داره کپی میکنه، چون کار فکری، انرژي میگیره
اونا یا با پارتی جای خوبی رفتن یا کپی میکنند یا دیگه واقعا تکند و کارشون خیلی درسته، کسی که خسته نشه یعنی داره کپی میکنه، چون کار فکری، انرژي میگیره,پس یکی از این سه حالت شامل حال شماست، خوشا به سعادتتون
من دقیقا به عنوان شغلم انتخاب کردم، هم از برنامه نویسی لذت می برم، هم درآمد دارم، هم توی تهران با این هزینه های وحشتناک دارم زندگی می کنم,فقط با طراحی سایت یا اندروید چیزی هم درکنارش هست ؟؟؟
فقط با طراحی سایت یا اندروید چیزی هم درکنارش هست ؟؟؟,نه چیزی کنارش نیست
کسی که اينکارو به عنوان شغلش انتخاب میکنه و میخواد خرج زندگيشو در بیاره ، بجایی مثل تهران با اين هزینه های وحشتناک، چقدر میتونه موفق باشه,با این کارش هم به دیگران کمک میکنه، هم خوش بیشتر یاد میگیره و همچنین آدما و شرکت های زیادی با ایشون آشنا میشن خلاصه یه طور تبلیغات مثبه
سلام,میشه علت رو بگید
میشه علت رو بگید,علت چی رو؟
علت چی رو؟,کی پیام های منو پاک میکنه
کی پیام های منو پاک میکنه,حقیقتا من پیام شما رو پاک نکردم، ولی فکر می کنم به خاطر کپی رایت هستش اگه محتوایی که رایگان نیست رو به رایگان منتشر می کنید، دوستان حذف می کنن
توی سایت یا اینجا ؟,توی سایت ترجیحا
من پاک نمی کنم اجازه بده از ادمین ها سوال بپرسم ببینم قصه چیه خیلی اذیت نکن خودت رو اشتباه پیش میاد,ن اذیت نکردم ولی جالب بود برام ببینم کی پاک میکنه
توی سایت ترجیحا,توی متن جواب لینک دانلود هم میشه گذاشت؟
توی متن جواب لینک دانلود هم میشه گذاشت؟,بله
الان پاسخی مینویسم براشون امیدوارم کمک کنه,متشکرم
متشکرم,متاسفانه نمیشه ناشناس پاسخ داد ، باید حتما عضو بود پوزش میخوام
متاسفانه نمیشه ناشناس پاسخ داد ، باید حتما عضو بود پوزش میخوام,آها بله حتما باید عضو بود میتونید پاسختون رو بفرستید من منتشر کنم
متاسفانه نمیشه ناشناس پاسخ داد ، باید حتما عضو بود پوزش میخوام,یا اینکه آدرس ایمیلت شماره موبایلت رو بدی من ثبت نامت کنم
آها بله حتما باید عضو بود میتونید پاسختون رو بفرستید من منتشر کنم,چشم براتون پی ام میکنم، زحمت انتشارش با شما
یا اینکه آدرس ایمیلت شماره موبایلت رو بدی من ثبت نامت کنم,نه مرسی خانم حامدی نسب روش خوبی گفتند
نه مرسی خانم حامدی نسب روش خوبی گفتند,اوکی
آها بله حتما باید عضو بود میتونید پاسختون رو بفرستید من منتشر کنم,پاسخ ارسال شد،
پاسخ ارسال شد،,با تشکر اجازه بدید چک کنم
بله,توی کدوم حوزه؟
ولي الان خونه نيستم نميتونم پاسخگو باشم,باشه بعدا دوباره پیام میدم هر موقع تونستید جواب بدین ممنون میشم
توی کدوم حوزه؟,هم در حوزه سرور و هم در حوزه ديتابيس
روی چه ديستروي لينوکسي ميخوايين نصب کنيد؟ اوبونتو؟,اره
قبل از نصب اندرويد استديو باید مطمئن باشید و نصب باشه,اینا نصبه چیزی که نوشته
اینا نصبه چیزی که نوشته,شما نصب کردید در حالی که اندروید استودیو نیاز داره، ها درسته تفاوت تکنیکی ندارند و فقط اوپن سورس هستند، اما اندرويد استديو فقط با و ارايکل کار میکنه
شما نصب کردید در حالی که اندروید استودیو نیاز داره، ها درسته تفاوت تکنیکی ندارند و فقط اوپن سورس هستند، اما اندرويد استديو فقط با و ارايکل کار میکنه,چکار باید کنم اینا رو ریموو کنم؟
پس ایراد از همینه دیگه؟,بله اگر ایراد دیگه ای هم نباشه
خود سایت اوراکل هم نمیذاره,نمیدونم چی میگه
اینو پاک کردم ولی مثل اینکه برای نصب باید ای پی داشته باشی,ایپی هر جایی بغیر از ایران و یکی دو کشور دیگه که مشمول تحریم های صادرات محصولات امريکايين
خود سایت اوراکل هم نمیذاره,همون میگه ممنوعیت صادرات به ایران و از این مسخره بازيا
تور به تنهایی ترافیک رو رد نمی کنه,این اوبنتو سخته حقیقت اولین بارمه
هرچند تور کنده اساسا، وی پی ان بهتره,نتونستم پیدا کنم
باید قبلش هم همه صفحه های فایرفاکس بسته باشه,نمیشه نصب کرد؟
نمیشه نصب کرد؟,اگر وی پی ان داشته باشی از جایی خریده باشی سرويسشو، اپليکيشن مجانی وی پی ان نمیدونم باشه یا نه واسه لینوکس
تور به تنهایی ترافیک رو رد نمی کنه,درسته
خلاصه هر طوری که شده بایستی و ارايکل رو نصب کنی تا اندرورید استديو کار کنه,جاوا اوراکل کردم همچنان پیدا نمیکنه
خوش آمدید,مچکرم
سلام ببخشید کسی پایتون بلده ؟,سلام، از کتابخونه ی خاصی از پایتون داری استفاده می کنی برای کارای تحلیلی یا برای وب می خوای و فریم ورک ؟
سلام، از کتابخونه ی خاصی از پایتون داری استفاده می کنی برای کارای تحلیلی یا برای وب می خوای و فریم ورک ؟,از هیچ کتابخونه ای ،راهنمایی میخواستم برا اینکه چجور یادگیریشو شروع کنم ؟برای داده کاوی میخوام ازش استفاده کنم بعد
از هیچ کتابخونه ای ،راهنمایی میخواستم برا اینکه چجور یادگیریشو شروع کنم ؟برای داده کاوی میخوام ازش استفاده کنم بعد,خب خلاصه اگه بخوام بگم، برای تحلیل داده و دیتاماینینگ، زبان های و الان رایج هستن زبان هم یک سری کتابخونه داره واسه تحلیل دیتا ولی برای شروع باید بگم که یه سری ویدیو دانلود کن ببین، بعد برو سراغ داکیومنتیشن و شروع کن به خوندن کتابخونه ها
خب خلاصه اگه بخوام بگم، برای تحلیل داده و دیتاماینینگ، زبان های و الان رایج هستن زبان هم یک سری کتابخونه داره واسه تحلیل دیتا ولی برای شروع باید بگم که یه سری ویدیو دانلود کن ببین، بعد برو سراغ داکیومنتیشن و شروع کن به خوندن کتابخونه ها,اموزش چه سایتایی بهتره؟ چه کتابخونه هایی رو باید بخونم؟
اموزش چه سایتایی بهتره؟ چه کتابخونه هایی رو باید بخونم؟,کتابخونه ها که کاملا وابسته هست به پروژه ولی سایتایی که باید بخونی رو من اگه زبانت خوبه خود داکیومنتیشن رو پیشنهاد می کنم
فقط اینو هم بگم که چون کتابخونه های پایتون زیادن، معمولا متناسب با پروژه ای که می خوای روش کار کنی انتخاب میشن، پس یه پروژه ی کوچیک انتخاب کن، و متناسب با اون یه کتابخونه رو انتخاب کن و روش کار کن,پس ظاهرا استاد باید بگه
سلام خوش امدین,سلام علیکم ممنون
کسی هست اینجا موبایل فروشی داشته باشه؟؟؟,مگه شهرتون نداره موبایل فروشی
قیمت اضطراری میخواستم,الان نگیری بهتره لامصبا خیلی گرونه
نخند یه سوال بود,سوالتون یه جوری بود که ادم شک میکنه گروه رو درست عضو شدید
الان نگیری بهتره لامصبا خیلی گرونه,برای فروش
برای فروش,اها
این مثالش توی یه لیست ویو استفاده کرده,این مثل اینکه خودش ایراد داشته ببخشید اشتباه فرستادم
سلام ،ا ربات اد کردید؟,خير چطور؟
خير چطور؟,آخه پایین صفحه ام یه پیام اومده ، مثل زمانی که ربات اد میشه تو گروه ها
آخه پایین صفحه ام یه پیام اومده ، مثل زمانی که ربات اد میشه تو گروه ها,اسپم بوده که حذف شد
حالا درست شد ، ممنون,خواهش میکنم
اینا رو پخش میکنن که سیاسی تو فضای مجازی رو کمتر کنن شما ها دیگه چرا فوروارد میکنین,چون در همین مورد ۲ بند به جرایم سایبری اضافه شده توی سایت برو بخون روی اون حساب فوروارد کردم
چون در همین مورد ۲ بند به جرایم سایبری اضافه شده توی سایت برو بخون روی اون حساب فوروارد کردم,ول کن همه کشکه جدی نگیر
ول کن همه کشکه جدی نگیر,الله اعلم
این که جواب داده شده,بله الان دیدم، مرسی
چرا شبیه ساز نصب نمی کنی؟,گفتم اول ببینم کسی داره که راحت تر باشه
منظورت از دیتابیس سرور است؟,اره
من خودم بجز و بقیه بلدم البته مسلط نیستم خواستی باهم چندتا پروژه میزنیم,سلام موافقم
بچه ها تیم شید روی لام تا کام کار کنید,روی سایت یا چی؟
اگه پروژه ای چیزی سراغ دارید یا تمرینی چیزی هست بگید باهم کارکنیم,من خودم چندتایی پروژه دانشجویی ساختم خواستی یه سایت توپی میزنیم
خب روی چیش کار کنیم؟,توسعش بدید کپین جدید بزنید براش
اون موقع یه سری ایده میگیری که چطوری باید توسعه بدید,یکی دوتا سایت بزنیم اول بعد میایم سراغش
اون موقع یه سری ایده میگیری که چطوری باید توسعه بدید,باشه حالا دوستانی که حرفه ای ترن شروع کنن ماهم را بیافتیم
یکی دوتا سایت بزنیم اول بعد میایم سراغش,اوکی
خ ممنون,پست غیر مربوط به موضوع گروه ارسال نکنید
پست غیر مربوط به موضوع گروه ارسال نکنید,اکی
سلام دوستان اینجا کسی میدونه که چطوری میشه اطلاعات داخل دیتابیس در هاست پلسک رو مدریت کرد,سلام، مدیریت به چه معنی؟
سلام، مدیریت به چه معنی؟,بتونم داده های پایگاه داد ببینم و ویرایش کنم
بتونم داده های پایگاه داد ببینم و ویرایش کنم,بله، من با پنل پلسک کار نکردم، ولی به احتمال قوی رو نصب داره
فرقی نمی کنه کجا هستی، اون یه کامنده که اگه با یوزر روت اجراش کنی، به دیتابیس مای اسکیوال وصل میشه,میشه بیشتر توضیح بدی
میشه بیشتر توضیح بدی,تا به الان با دستورات کار کردی در محیط ؟
تا به الان با دستورات کار کردی در محیط ؟,نه کار نکردم چی هست این محیط و رفرنس های اموزشی نداری
نه کار نکردم چی هست این محیط و رفرنس های اموزشی نداری,اووم خب سایتای زیادی هستن که آموزش دادن این مبحث رو که توی گوگل میشه پیداشون کرد
کسی برنامه نویسی اندروید کار میکنه یک سوال بپرسم,اره بفرمایید اگه بلد باشیم میگیم
کسی برنامه نویسی اندروید کار میکنه یک سوال بپرسم,بله بفرمایید
ولی ی نمونه بهتر میخوام,برای از تابع توی اکتیوتی دوم میشه استفاده کرد
من برم نهار، میام,سلام دوست عزیز امکانش هست کمکم کنی
سلام دوست عزیز امکانش هست کمکم کنی,بله، من درخدمتم، ولی سوال دقیق چی بود؟
نه ببین کاری با پنلی که داری استفاده می کنی ندارم، کلا روی سرور شما گفتی که دسترسی داری، درسته؟,این پرسیدید ک گفتم اگ منظورتون دستدسی به داده ها و فابلهای درون هاست است،بله درسترسی دارم
این پرسیدید ک گفتم اگ منظورتون دستدسی به داده ها و فابلهای درون هاست است،بله درسترسی دارم,دیگه نیازی نیست مشکل بر طرف شد وقتی میخوایم اطلاعات دیتابیس هاست را ویرایش کنیم میتونیم از استفاده کنیم به این صورت ک در پنجره ورودی تکست باکس را با ای پی هاست و و را همان یوزر و پسی ک در هنگام ساخت دیتابیس در هاست مشخص کردیم قرار میدهیم و اوکی میکنیم تا به تمام اطلاعات داخل پایگاه داده خیلی ساده و سریع و در ویندوز دسترسی داشته باشیم
بازم ممنون بابت راهنمایی هاتون,خواهش ميكنم، كاري نكردم كه، خودتون مشكل رو حل كرديد
بستگی داره می خوای چیزی یاد بگیری، یا می خوای تا مقاطع بالا مثلا دکتری ادامه تحصیل بدی,می خوام ادامه بدم
من از ریاضی و فیزیک,ب غیر از کاردانی تو اموزشش ک ی وقت فرقی نداره ؟
گلم ما اینجا خودمون استخدام می کنیم,برای چ کاری؟
گلم ما اینجا خودمون استخدام می کنیم,ن کلی گفتم برای اشتغال زایی چون گروهه معروفین حتما درامدشم خوبه
سلام كسي ميدونه كجا ميشه كارآموزي رفت براي برنامه نويسي و طراحي سايت و اينا ؟,سلام برای کارآموزی میتونی با سایت های مختلف تو اون زمینه به صورت دورکاری کار کنی و یاد بگیری
اول تست بده ببین به چی علاقه داری و,میشه در مورد این تست توضیح بدی تاحالا نشنیدم چیه
به سوال ها باید جواب بدی و تیپ شخصیتیتو میگه بعد میگه چه شغل هایی مناسبته,بیخود بود سوالای مزخرفی میپرسه ب درد سنم نمی خورد
بیخود بود سوالای مزخرفی میپرسه ب درد سنم نمی خورد,تست مسخره نیست
تست مسخره نیست,هست
شما کاراییش رو متوجه شدین و فقط مثال میخواید یا کاراییش رو؟,کارایییش رو کاملا میدونم دو ساله برنامه نویسی نکردم و همه ی نمونه هامو گم کردم میخوام سرعتم ببشتر بشه
ريپورتم ك,آنلاین بشن تو همین گروه جواب میدن
سلام جاوا كار كسي هس,سلام بله
کارایییش رو کاملا میدونم دو ساله برنامه نویسی نکردم و همه ی نمونه هامو گم کردم میخوام سرعتم ببشتر بشه,اگه بخوای میتونم یکی دوتا نمونه ای که زدم رو اسکرین بگیرم بفرستم برات
اگه بخوای میتونم یکی دوتا نمونه ای که زدم رو اسکرین بگیرم بفرستم برات,ممنون میشم اگه بفرستید تشکر
سلام بله,ببين من يه اينترفيس ايجاد كردم ميخام ورودي متدش باشه
اگه بخوای میتونم یکی دوتا نمونه ای که زدم رو اسکرین بگیرم بفرستم برات,چكار بايد بكنم چي بايد بنويسم
چكار بايد بكنم چي بايد بنويسم,اینو تست کن جواب نداد ارورش رو بگو
یه ضد لینک بزارین بد نیست,واقعا
مطميني؟ اين مشكل رو حل كرده بوديم جه زماني تست كردي؟,بله هم امروز به این شکل بود هم دیروز
بله هم امروز به این شکل بود هم دیروز,ممنونم بابت فيدبك، چشم بررسي ميكنيم
ممنونم بابت فيدبك، چشم بررسي ميكنيم,ممنون
میگه نرم افزار رو نصب کن رو سیستمت,ممنون
ممنون,خواهش میکنم
تو سایت پاسخ داده شد,متشکرم
سلام,سلام خوش اومدید
سلام,سلام خوش آمدید
سلام خوش اومدید,مرسی
سلام خوش آمدید,مچکر
میشه منم فعالیت کنم؟,بله گروه هست، همه میتوانند در راستای موضوع گروه فعالیت کنند
بله گروه هست، همه میتوانند در راستای موضوع گروه فعالیت کنند,اول آشنا شیم پلیز
اول آشنا شیم پلیز,شما در چه زمینه ای تحصیل میکنید ؟
شما در چه زمینه ای تحصیل میکنید ؟,برنامه نویسی و سخت افزار
برنامه نویسی و سخت افزار,بسیار عالی با چه زبان هایی کار میکنید ؟
بسیار عالی با چه زبان هایی کار میکنید ؟,انگلیسی
انگلیسی,بسیار عالی ولی منظورم زبان برنامه نویسی بود
بسیار عالی ولی منظورم زبان برنامه نویسی بود,اره همون
اینجا قدر منو نمیدونید خدافز,چیزی نشده ک
چیزی نشده ک,مسخرم کردن
مسخرم کردن,کی؟
کی؟,شما
شما,من پیام تمسخر امیزی در این گروه نفرستادم نه الان نه هیچ وقت دیگر
اوکی انجام میدم البته اگه تونستم من یکم اعتمادبه نفسم پایینه,حداقل دوتا سوال کنید از جزئیات پروژه بعد پیشنهاد بدین
حداقل دوتا سوال کنید از جزئیات پروژه بعد پیشنهاد بدین,اره
دوستانی که تازه اومدن معرفی کنن در چه زمینه هایی فعالیت دارن,من فول استکم
من فول استکم,بسیار عالی چه زبان هایی کار میکنید ؟
چند سالتونه؟,۱۶
سلام,س
کامل,بسیار عالی همیشه موفق باشید
بسیار عالی همیشه موفق باشید,مرسی ایشالله موفق تر شه نت گارد
سلام,سلام خوش اومدید
بسیار عالی همیشه موفق باشید,ب حمیدرضا سلام مخصوص برسون
سلام خوش اومدید,مرسی
مرسی,سلام کردم
سلام کردم,ببخشید ندیدم
ببخشید ندیدم,تکرار نشه
حداقل دوتا سوال کنید از جزئیات پروژه بعد پیشنهاد بدین,من منتظر بودم شما بیاین یکم از جزییاتش بگین
فارسی هم خب خیلی منابع مختلفی هستش، ولی معمولا منابع انگلیسی هم ساده توضیح دادن هم خیلی دقیق تر و کامل تر هستن,وقت نمیشه ضبط کنیم
ممنون,خواهش میکنم
سلام,سلام، خوش آمدید
سلام، خوش آمدید,ممنون
سلام ،پیام شخصی که برای کسی میفرستی تو لام تا کام ، نمیشه ویرایشش کرد؟ یا حتی حذفش کرد؟,سلام، خير، مثل اس ام اس ميمونه
سلام، خير، مثل اس ام اس ميمونه,ممنون
انعطاف پدیری خوبی داره,اره کلا معماری کارش درسته
خوش آمدید دوستان,سلام
سلام,سلام خوش آمدید
دوستان کسی با ها کار کرده؟,بله
یعنی هر دقیقه بار اون تسک ران میشه,آها اره مثل اینکه درستی مممنووونن
همه ریپورت کنیدش,کی بود برنامه رو فرستاد تو گروه
ببخشید منم میخواهم ادمین بشم چطور ممکنه ؟,بله دوست عزیز، فعالیت داشته باشید داخل گروه، ان شا الله با افزایش اعضا، گروه به ادمین های بیشتر نیاز دارد
بله دوست عزیز، فعالیت داشته باشید داخل گروه، ان شا الله با افزایش اعضا، گروه به ادمین های بیشتر نیاز دارد,ممنون بلی فعالیت رو که زیاد میکنم
سلام افزونه ای هست که اطلاعات شخصی کاربران رو برای همه بازدید کنندگان سایت نشون بده ؟,خیر البته اگر کاربران ثبت نام کرده باشن باید با مشخصات کاربر رو نشون بدی
ادمین قصد افزودن ربات ندارید,چرا، در روز های آینده ان شا الله ربات اضافه میکنیم
چرا، در روز های آینده ان شا الله ربات اضافه میکنیم,اکانت جدیده؟
سلام خوش اومدید,سالاری
یه بزن بزن دیگه فک نکنم از این ساده تر باشه و راهی بتونی پیدا کنی,روش های گوناگون رو میخواد بهش پی ببره
سلام,سلام، خوش آمدید دوست عزیز
کسی لبتاب دست دوم کم قیمت داخل قائمشهر سراغ داره,توی سایت دیوار فکر می کنم می تونی موارد خوبی پیدا کنی
توی سایت دیوار فکر می کنم می تونی موارد خوبی پیدا کنی,باشه
باشه,حواست باشه مهلت تست بگیری
لبتاب دست دوم بهتره بخریم یا کامپیوتر ؟,اگه جابجا کردنش ویژگی مهمی برات نیست، قویا توصیه می کنم که کامپیوتر بخری سخت افزار کامپیوتر خیلی قوی تره
اگه جابجا کردنش ویژگی مهمی برات نیست، قویا توصیه می کنم که کامپیوتر بخری سخت افزار کامپیوتر خیلی قوی تره,من الان کامپیوتر دارم به نظرتون اگه با لبتاب دست دوم عوضش کنم بهتره یا همون از کامپیوترم استفاده کنم ؟
حواست باشه مهلت تست بگیری,باشه ولی دوتا اگهی بیشتر نیست بزارپیداشه بعد فکری به حال تست کردن میگیریم
من الان کامپیوتر دارم به نظرتون اگه با لبتاب دست دوم عوضش کنم بهتره یا همون از کامپیوترم استفاده کنم ؟,من کامپیوتر دارم راضیم ولی لبتاب میشه همراه برد راحت میشه داخل کلاس برنامه نویسی برد
باشه ولی دوتا اگهی بیشتر نیست بزارپیداشه بعد فکری به حال تست کردن میگیریم,گفتم حواست باشه من خیلی ها رو میشناسم اینطوری خرید کردن و ضرر کردن
گفتم حواست باشه من خیلی ها رو میشناسم اینطوری خرید کردن و ضرر کردن,باشه ممنون ازراهنماییت
من کامپیوتر دارم راضیم ولی لبتاب میشه همراه برد راحت میشه داخل کلاس برنامه نویسی برد,مگه کلاس برنامه نویسی توی اتاق کامپیوتر انجام نمیشه؟
من کامپیوتر دارم راضیم ولی لبتاب میشه همراه برد راحت میشه داخل کلاس برنامه نویسی برد,منم به خاطر قابلیت جا به جایی لبتاب قصد دارم کامپیوترم با لبتاب عوض کنم اما می ترسم بهم بندازن
من الان کامپیوتر دارم به نظرتون اگه با لبتاب دست دوم عوضش کنم بهتره یا همون از کامپیوترم استفاده کنم ؟,به هیچ عنوان این کار رو نکن
منم به خاطر قابلیت جا به جایی لبتاب قصد دارم کامپیوترم با لبتاب عوض کنم اما می ترسم بهم بندازن,نو بخر من پولشو داشتم نو میخریدم
به هیچ عنوان این کار رو نکن,چرا؟
نو بخر من پولشو داشتم نو میخریدم,هر دو تاش که به دردم نمی خوره من یکیشو لازم دارم
نو میلیون,کمترم هست
کمترم هست,کمتر بدرد نمیخوره
هر دو تاش که به دردم نمی خوره من یکیشو لازم دارم,کامپیوترو بفروش یکم بزارنویخر
چرا؟,خب به خیلی پارامترا بستگی داره بستگی داره چه سخت افزاری داری میدی و در ازاش چی میگیری ، ولی لوازم برقی کلا دست دوشون خیلی مورد اطمینان نیست و این رو مطمینم که سخت افزار کامپیوتر فعلی تو قوی تر از اون لپتاپی هست که قراره بهت بدن
خب به خیلی پارامترا بستگی داره بستگی داره چه سخت افزاری داری میدی و در ازاش چی میگیری ، ولی لوازم برقی کلا دست دوشون خیلی مورد اطمینان نیست و این رو مطمینم که سخت افزار کامپیوتر فعلی تو قوی تر از اون لپتاپی هست که قراره بهت بدن,من رم کامپیوترم دوهه
خب به خیلی پارامترا بستگی داره بستگی داره چه سخت افزاری داری میدی و در ازاش چی میگیری ، ولی لوازم برقی کلا دست دوشون خیلی مورد اطمینان نیست و این رو مطمینم که سخت افزار کامپیوتر فعلی تو قوی تر از اون لپتاپی هست که قراره بهت بدن,من اطلاعات کامپیوترم رو تو یه گروهی فرستادم گفتن نهایتا یا می خرن یه لب تاب دست دومم تو یه مغازه دیده بودم میداد قصد داشتم این دو تا رو با هم تعویض کنم ولی شک دارم
مگه کلاس برنامه نویسی توی اتاق کامپیوتر انجام نمیشه؟,نه کلاس برنامه نویسی میرم از طراحی سایت تا سی پلاس پلاس و اندرویدو جاوا و سی شارپ و جاوا اسکریپت و پی اچ پی یاد میدن اگه دوست داشتیم میتونیم زبان های دیگه هم یادبگیریم کامپیوتر داره ولبتاب بگیرم میتونم کدذخیره کنم خونه برم تمرین کنم
من رم کامپیوترم دوهه,رم منم گیگه
نه کلاس برنامه نویسی میرم از طراحی سایت تا سی پلاس پلاس و اندرویدو جاوا و سی شارپ و جاوا اسکریپت و پی اچ پی یاد میدن اگه دوست داشتیم میتونیم زبان های دیگه هم یادبگیریم کامپیوتر داره ولبتاب بگیرم میتونم کدذخیره کنم خونه برم تمرین کنم,کار یه فلشه
من اطلاعات کامپیوترم رو تو یه گروهی فرستادم گفتن نهایتا یا می خرن یه لب تاب دست دومم تو یه مغازه دیده بودم میداد قصد داشتم این دو تا رو با هم تعویض کنم ولی شک دارم,کامپیوتر رم دو گرافیک دو سی پی یو سه چقدرمیخرن
کار یه فلشه,ولی لبتاب راحت تره
رم منم گیگه,رم کامپیوترت گیگه بعد بهت گفتن الی می خرن؟ قیمت وسوسه انگیزیه شاید وقتی این اتفاقه بیوفته که دلار به تمن برسه
رم کامپیوترت گیگه بعد بهت گفتن الی می خرن؟ قیمت وسوسه انگیزیه شاید وقتی این اتفاقه بیوفته که دلار به تمن برسه,خب گفتن مگه قیمت کامپیوتر فقط از روی رم مشخص میشه ؟
خب گفتن مگه قیمت کامپیوتر فقط از روی رم مشخص میشه ؟,ازوری چیه
ازوری چیه,گرافیک و
گرافیک و,گرافیکم دوهست
گرافیکم دوهست,از روی ظاهر که قیمت تعیین نمیشه از خود اطلاعات سخت افزاری کامپیوتر من عکس فرستادم
سلام، چرا سایت خارجی ؟,ایران کسی نتونست سفارشم رو انجام بده
ایران کسی نتونست سفارشم رو انجام بده,توی جمله سفارشت رو بگو ببینم
قبلا شنیدم این خاصیت رو باید با انجام بدی و سایتی که میخوای باید بتونه بهت بده تا بتونی با اون وارد بشی,میتونم اطلاعات جیسون بخونم ولی اینکه یه صفحه باز بشه بره تو سایت لوگین کنی باز برگرده به اپلیکشن بلد نیستم
میتونم اطلاعات جیسون بخونم ولی اینکه یه صفحه باز بشه بره تو سایت لوگین کنی باز برگرده به اپلیکشن بلد نیستم,جیسون یه چیزه اما با کار اشنایی داری؟
بعید میدونم مثل گوگل باشه راحت تره انگار,یادم بنداز میبینم
بعید میدونم مثل گوگل باشه راحت تره انگار,اما فک نکنم ساده باشه
کافیه به همون تگ فقط بدید و در اون صورت مارجین باید کار کنه,آها، خب درسته، ببین لطفا جوابت رو توی وب سایت منتشر کن
آها، خب درسته، ببین لطفا جوابت رو توی وب سایت منتشر کن,شما مگه نگفتید قراره یک بات به گروه اضافه بشه و خود به خود جواب های ما رو از توی گروه ببره توی وب سایت بزاره ؟؟؟
شما مگه نگفتید قراره یک بات به گروه اضافه بشه و خود به خود جواب های ما رو از توی گروه ببره توی وب سایت بزاره ؟؟؟,بله، بات ساخته شده، داریم تست های نهایی رو روش میگیریم و ان شالله به زودی ازش رونمایی میکنیم
بله، بات ساخته شده، داریم تست های نهایی رو روش میگیریم و ان شالله به زودی ازش رونمایی میکنیم,ممنون
چجوری تایپ می کنی ابی میشه؟,اطراف چیزی که می خوای آبی بشه باید کاراکتر رو بزاری
اطراف چیزی که می خوای آبی بشه باید کاراکتر رو بزاری,اها
شما برنامه نویس هستی؟,بله
سلام دوستان روي تم دارم كار ميكنم و ستينگش رو پيدا نميكنم كه تغييرات روي لي اوت صفحه بدم,وردپرس؟
نکن، شایعه چرا درست میکنی,راس میگه بلبل گرام خوبتره
راس میگه بلبل گرام خوبتره,عحب
لطفا اینقدر گیف ارسال نکنید,چشم
چشم,خیلی ممنون
سلام,سلام
اونجا نوشته برند ها کسی اینجوری برند داره,عکس برند ها منظورته؟
عکس برند ها منظورته؟,اره
دارید عکس برند هارا,همین برند ها یا برندای دیگه
همین برند ها یا برندای دیگه,هربرندی
هربرندی,خیلی راحت میتونی از گوگل پیدا کنی همه برند ها رو
خیلی راحت میتونی از گوگل پیدا کنی همه برند ها رو,چی سرچ کنم
چی سرچ کنم,اسم برند رو
ممنون ازراهنماییت پیدا کردم,خواهش میکنم
بیو رو چک کنید,خب چک کردم
مثلا مشابه دیجی کالا با لاراول از میلیون شروع میشه تا بالا,البته الان دیگه سورس مشابه دیجی کالا رو همخ دارن
نه یه فرم هست میتونن افراد مبتدی از روش الهام بگیرن تو طراحیهاشون با,آهان
کم تر کسی میتونه تو همچین تکست باکسی درست کنه,بلی صحیح
تهیه شده توسط خودم,هست یا
هست یا,هست
هست,بود عالی میشد
رو خم یاد میگرم,اره یادبگیری و پیدا کنی خیلی عالی میشه
بود عالی میشد,اره انشاءالله
یعنی گرافیک آندروید چیست,اره معمولا با میسازن قالب برنامه رو
یعنی گرافیک آندروید چیست,ولی میشه با کد جاوا هم ساخت که به دردسرش نمیارزه
اینم یه نمونه از کارم که تکمیل نکردم,بخش کدنویسی نمیزنی؟
بخش کدنویسی نمیزنی؟,میزنم ولش میکنم
تهیه شده توسط خودم,چطوری با اچ تی ام ال سی اس اس درست کردی من که با اچ تی ام ال سی اس اس نمیتونم اینودرست کنم
دوستان کسی با متد کار کرده,بله، به كررات
بله، به كررات,داش خوبی قبلاً استفاده کردم ازش ولی الان هرکاری میکنم جواب نمی ده نمی دونم مشکل از کجاست
كدت رو بفرست,بیام پیوی
داش گیرم ناموسا حالا یه نگاهی کن الان,میگم ببخشید شاخ مجازی چیزی هستی
میگم ببخشید شاخ مجازی چیزی هستی,نه این شماره مجازیه یکی قبلا روش بود من اودم من نیستم
داش گیرم ناموسا حالا یه نگاهی کن الان,ارروت چیه؟
